a, SPS00
despús-anit, RG
despús-demà, RG
dessobre, RG
dessota, RG
dessús, RG
dessús, SPS00
destacadament, RG
destempradament, RG
destralerament, RG
destrament, RG
destrellatadament, RG
destrempadament, RG
destructivament, RG
desunidament, RG
desusadament, RG
desvagadament, RG
desvalgudament, RG
desvanidament, RG
desventuradament, RG
desvergonyidament, RG
detalladament, RG
detectivescament, RG
determinadament, RG
determinantment, RG
detestablement, RG
detingudament, RG
detonantment, RG
deturadament, RG
deunidoret, I
deunidó, I
devastadorament, RG
devers, SPS00
devora, SPS00
devotament, RG
deçà, RG
deçà, SPS00
diabòlicament, RG
diacrònicament, RG
diagonalment, RG
dialectalment, RG
dialècticament, RG
diametralment, RG
diatònicament, RG
dicotòmicament, RG
dictatorialment, RG
didàcticament, RG
dietèticament, RG
diferenciadament, RG
diferencialment, RG
diferentment, RG
dificultosament, RG
difuminadament, RG
difusament, RG
difícilment, RG
digestivament, RG
digitalment, RG
dignament, RG
dilatadament, RG
diligentment, RG
diluïdament, RG
dimensionalment, RG
diminutament, RG
dins, RG
dins, SPS00
dintre, RG
dintre, SPS00
dinàmicament, RG
dinàsticament, RG
diplomàticament, RG
direccionalment, RG
directament, RG
directe, RG
disciplinadament, RG
disciplinàriament, RG
discogràficament, RG
discontínuament, RG
discordantment, RG
discrecionalment, RG
discretament, RG
discriminadament, RG
discriminatòriament, RG
disculpablement, RG
discursivament, RG
discutidament, RG
disgraciosament, RG
disgregadament, RG
disgustadament, RG
disjuntivament, RG
dispendiosament, RG
dispersament, RG
displicentment, RG
disposadament, RG
dispositivament, RG
dissemblantment, RG
dissimuladament, RG
dissimètricament, RG
dissipadament, RG
dissolutament, RG
dissonantment, RG
dissortadament, RG
distalment, RG
distanciadament, RG
distantment, RG
distesament, RG
distingiblement, RG
distingidament, RG
distintament, RG
distintivament, RG
distretament, RG
distributivament, RG
ditiràmbicament, RG
diversament, RG
divertidament, RG
divinalment, RG
divinament, RG
divisionalment, RG
diàfanament, RG
diàriament, RG
diürnament, RG
doblement, RG
doctament, RG
doctoralment, RG
doctrinalment, RG
doctrinàriament, RG
documentadament, RG
documentalment, RG
dogmàticament, RG
dolgudament, RG
doloridament, RG
dolorosament, RG
dolosament, RG
dolçament, RG
domiciliàriament, RG
dominadorament, RG
dominantment, RG
dominicalment, RG
domèsticament, RG
doncs, CC
doncs, RG
dorsalment, RG
dorsiventralment, RG
dosificadament, RG
dramatúrgicament, RG
dramàticament, RG
dretament, RG
dreturerament, RG
dràsticament, RG
dualment, RG
dubitativament, RG
dubtosament, RG
duplicadament, RG
durablement, RG
duradorament, RG
durament, RG
durant, SPS00
dèbilment, RG
déu-n'hi-do, I
déu-n'hi-doret, I
dòcilment, RG
ec, I
eclesialment, RG
eclesiàsticament, RG
eclècticament, RG
ecogràficament, RG
ecològicament, RG
economètricament, RG
econòmicament, RG
ecs, I
ecumènicament, RG
edafològicament, RG
editorialment, RG
educacionalment, RG
educadament, RG
educativament, RG
edàficament, RG
efectivament, RG
efeminadament, RG
eficaçment, RG
eficientment, RG
efusivament, RG
efímerament, RG
egocèntricament, RG
egoistament, RG
egrègiament, RG
eh, I
ehem, I
ei, I
eia, I
eixelebradament, RG
eixeridament, RG
eixorcament, RG
eixordadorament, RG
eixutament, RG
ela, I
elaboradament, RG
electivament, RG
electoralment, RG
electroencefalogràficament, RG
electroestàticament, RG
electrofisiològicament, RG
electrolíticament, RG
electromagnèticament, RG
electroquímicament, RG
electrònicament, RG
elegantment, RG
elegíacament, RG
elementalment, RG
elevadament, RG
eli-eli, RG
elis, I
elogiablement, RG
elogiosament, RG
eloqüentment, RG
